"año","CIF","CMUN","CMUNXL","DEGURBA","Eco_Afiliados_Tem_Porc_Resid","Eco_Afiliados_Total","Eco_Cap_Nec_Financ","Eco_Contratos_Indef","Eco_Contratos_Temp","Eco_Contratos_Total","Eco_Distrib_Renta_P80_20","Eco_Energ_Elect_PC","Eco_Establec_Hotel","Eco_Imp_Saldo_Nfinanc","Eco_Ind_RDBM_PC","Eco_Indice_Gini","Eco_Paro_100","Eco_Paro_Porc_Evol","Eco_PBI_municipal_pc","Eco_Pre_Deuda_Viva","Eco_Pre_Gastos_Liquidados","Eco_Pre_Ingresos_Liquidados","Eco_Renta_Neta_Media_PP","Eco_Uds_Productivas","Entidad","MA_Incendios","MA_Pelig_Incend_AltoExt","MA_Sup_Forestal_Arbol","MA_Sup_Forestal_Desarb","MA_Sup_Forestal_Total","MA_Sup_Protegida","MA_Sup_quemada","Municipio","NATCODE","Pob_Crecim_Relativo","Pob_Dependencia","Pob_Edad_Media","Pob_Empadronada","Pob_Empadronada_H","Pob_Empadronada_M","Pob_Envejecimiento","Pob_EV_65_H","Pob_EV_65_M","Pob_EV_65_Total","Pob_EV_H","Pob_EV_M","Pob_EV_Total","Pob_Grupo","Pob_Juventud","Pob_Saldo_Migratorio","Soc_Bibliot_públicas","Soc_Bienes_Cult","Soc_Cines_Proy","Soc_Ed_Bachiller","Soc_Ed_Cent_Priv_NoUni","Soc_Ed_Cent_Pub_NoUni","Soc_Ed_CiclosFormat","Soc_Ed_ESO","Soc_Ed_Especial","Soc_Ed_Infantil","Soc_Ed_Primaria","Soc_Ent_Credito","Soc_Mov_Auto_T","Soc_Mov_Est_Cercan","Soc_Mov_Gasolin","Soc_Mov_Hosp_T","Soc_Mov_Lin_Autob","Soc_Mov_Muni_5000_T","Soc_Mov_Turismos_Pub","Soc_Salud_Ambul","Soc_Salud_CentrosS","Soc_Salud_Consult","Soc_Salud_Def_Otras","Soc_Salud_Def_SistCirc","Soc_Salud_Def_SistResp","Soc_Salud_Def_Tumor","Soc_Salud_Discapacidad","Soc_Salud_Farmacia","Soc_Serv_Social_Centros","Soc_Teatros","Soc_Vivienda_Libre","Superficie","Terr_Zonas_Estad_CM"
"2005","P2801900H","019","28019","3-Rural",NA,NA,NA,NA,NA,NA,NA,2780.1,NA,NA,10066.2,NA,NA,NA,NA,NA,944.63,972.79,NA,NA,"Belmonte de Tajo",NA,NA,NA,NA,NA,0,NA,"Belmonte de Tajo","34132828019",1.7,1.7,42.14,1196,604,592,20.4,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",13.96,80,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,5.457,0,NA,NA,2,5.12,1,3,NA,NA,NA,57.89,5.26,26.32,NA,NA,NA,NA,NA,24.09,"SUDESTE COMUNIDAD"
"2006","P2801900H","019","28019","3-Rural",NA,NA,NA,58,97.58,2398,NA,2973.93,NA,NA,10455.19,NA,NA,NA,NA,NA,1001.31,1199.37,NA,NA,"Belmonte de Tajo",NA,NA,NA,NA,NA,0,NA,"Belmonte de Tajo","34132828019",5.9,5.9,41.75,1266,640,626,19.98,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",14.06,48,0,NA,NA,0,0,1,0,0,0,1,1,NA,5.457,0,NA,NA,2,5.12,1,4,NA,NA,NA,60,6.67,20,NA,NA,NA,NA,NA,24.09,"SUDESTE COMUNIDAD"
"2007","P2801900H","019","28019","3-Rural",NA,NA,NA,116,90.65,1241,NA,3113.88,NA,NA,10789.74,NA,3.54,NA,NA,NA,811.51,934.53,NA,NA,"Belmonte de Tajo",NA,NA,NA,NA,NA,0,NA,"Belmonte de Tajo","34132828019",4.74,4.74,41.18,1326,676,650,18.55,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",14.18,49,0,0,NA,0,0,1,0,0,0,1,1,NA,5.457,0,NA,NA,2,5.12,1,4,NA,NA,NA,53.33,13.33,6.67,NA,NA,NA,NA,NA,24.09,"SUDESTE COMUNIDAD"
"2008","P2801900H","019","28019","3-Rural",NA,NA,NA,103,96.54,2974,NA,3187.55,NA,NA,11097.5,NA,4.49,0.95,NA,NA,1504.1,1559.92,NA,NA,"Belmonte de Tajo",NA,NA,NA,NA,NA,0,NA,"Belmonte de Tajo","34132828019",4.15,4.15,41.52,1381,702,679,18.61,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",13.32,72,0,0,NA,0,0,1,0,0,0,1,1,NA,5.457,0,NA,NA,3,5.12,1,4,NA,NA,NA,32.14,10.71,21.43,NA,NA,NA,NA,NA,24.09,"SUDESTE COMUNIDAD"
"2009","P2801900H","019","28019","3-Rural",NA,NA,NA,56,98.62,4047,NA,3011.72,1,NA,11305.08,NA,8.2,3.71,NA,125.43,1570.29,1522.73,NA,NA,"Belmonte de Tajo",NA,NA,NA,NA,NA,0,NA,"Belmonte de Tajo","34132828019",5.07,5.07,40.84,1451,733,718,17.78,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",14.27,31,0,0,NA,0,0,1,0,0,0,1,1,NA,5.457,0,NA,NA,3,5.12,1,3,NA,NA,NA,52.94,5.88,5.88,NA,NA,NA,NA,NA,24.09,"SUDESTE COMUNIDAD"
"2010","P2801900H","019","28019","3-Rural",NA,NA,NA,47,96.31,1272,NA,2992.61,1,NA,11143.1,NA,11.09,2.89,NA,92.74,1453.04,1571.5,NA,NA,"Belmonte de Tajo",NA,NA,NA,NA,NA,0,NA,"Belmonte de Tajo","34132828019",2.55,2.55,40.75,1488,755,733,17.41,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",14.65,26,0,0,NA,0,0,2,0,0,0,2,1,NA,5.457,0,NA,NA,3,5.12,1,3,0,1,23.08,38.46,15.38,23.08,NA,1,NA,NA,NA,24.09,"SUDESTE COMUNIDAD"
"2011","P2801900H","019","28019","3-Rural",NA,NA,NA,60,92.63,814,NA,2807.77,1,NA,11170.28,NA,10.93,-0.16,NA,55.96,1326.19,1306.93,NA,NA,"Belmonte de Tajo",NA,NA,NA,NA,NA,0,NA,"Belmonte de Tajo","34132828019",2.08,2.08,40.77,1519,768,751,16.92,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",14.94,53,0,0,NA,0,0,2,0,0,0,2,1,NA,5.457,0,NA,NA,3,5.12,1,3,0,1,25,43.75,18.75,12.5,NA,1,NA,NA,NA,24.09,"SUDESTE COMUNIDAD"
"2012","P2801900H","019","28019","3-Rural",NA,NA,NA,56,96.09,1433,NA,2460.76,1,NA,10416.24,NA,10.25,-0.68,NA,34.81,1004.82,1313.11,NA,NA,"Belmonte de Tajo",NA,NA,NA,NA,NA,0,NA,"Belmonte de Tajo","34132828019",4.02,4.02,40.37,1580,810,770,16.46,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",15.82,12,0,0,NA,0,0,2,0,0,0,2,1,NA,5.457,0,NA,NA,3,5.12,1,3,0,1,18.75,50,31.25,0,70,1,NA,NA,NA,24.09,"SUDESTE COMUNIDAD"
"2013","P2801900H","019","28019","3-Rural",NA,NA,"cumple",58,94.6,1075,NA,2627.28,1,134758.96,10438.9,NA,12.95,2.69,NA,17.6,967.94,1097.2,NA,NA,"Belmonte de Tajo",NA,NA,NA,NA,NA,0,NA,"Belmonte de Tajo","34132828019",0.7,0.7,40.56,1591,816,775,16.4,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",15.59,5,0,0,NA,0,0,2,0,0,0,2,1,NA,5.457,0,NA,NA,3,5.12,1,5,0,1,29.41,29.41,23.53,17.65,76,1,NA,NA,NA,24.09,"SUDESTE COMUNIDAD"
"2014","P2801900H","019","28019","3-Rural",NA,NA,"Cumple",58,87.89,479,NA,2179.13,1,15481.79,10447.55,NA,10.69,-2.26,NA,13.83,975.94,985.63,NA,NA,"Belmonte de Tajo",NA,NA,NA,NA,NA,0,NA,"Belmonte de Tajo","34132828019",0,0,40.81,1591,823,768,16.47,NA,NA,NA,NA,NA,NA,"1.001-5.000 hab.",15.4,37,0,0,NA,0,0,2,0,0,0,2,1,NA,5.457,0,NA,NA,3,5.12,1,5,NA,NA,15.38,30.77,15.38,38.46,83,1,NA,NA,NA,24.09,"SUDESTE COMUNIDAD"
